apellido,nombre,tipo_doc,documento,sexo,fec_nac,telefono,telefono_alt,email,dir_calle,dir_numero,dir_piso,dir_depto,dir_barrio,dir_localidad,dir_municipio,dir_descripcion,oSocial,oSocialNumero,fec_fallecimiento,doc_responsable,ps_id,IdPS,DNIResponsable,direccion
Requerido,Requerido,Requerido,Requerido,Requerido,Requerido,,,,,,,,,Requerido,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
str -> [A-Za-z0-9],str -> [A-Za-z0-9],DNI,str -> [A-Z0-9],Masculino,YYYY-MM-DD,str,str,str -> Valida,str,int,str,str,str,Cuartel V,str,str,str,str,YYYY-MM-DD,str,str,str -> ps_id,str -> doc_responsable,str -> dir_descripcion
,,Cédula Mercosur,,Femenino,,,,no debe faltar el @ y el .,,,,,,Francisco Alvarez,,,,,,,,,,
,,Documento Bolivia,,M,,,,infosaludmoreno@gmail.com,,,,,,La Reja,,,,,,,,,,
,,Documento Brasil,,F,,,,,,,,,,Moreno,,,,,,,,,,
,,Documento Chile,,,,,,,,,,,,Paso Del Rey,,,,,,,,,,
,,Documento Colombia,,,,,,,,,,,,Trujui,,,,,,,,,,
,,Documento Paraguay,,,,,,,,,,,,Otros,,,,,,,,,,
,,Documento Uruguay,,,,,,,,,,,,,,,,,,,,,,
,,Pasaporte,,,,,,,,,,,,,,,,,,,,,,
,,Pasaporte extranjero,,,,,,,,,,,,,,,,,,,,,,
,,Otro documento extranjero,,,,,,,,,,,,,,,,,,,,,,
,,CI,,,,,,,,,,,,,,,,,,,,,,
,,LE,,,,,,,,,,,,,,,,,,,,,,
,,LC,,,,,,,,,,,,,,,,,,,,,,
